Timestamp,Hostname,EventID,User,ServiceName,Message,Exe
1740105759,DESKTOP-RKJA15K,4184,System,Microsoft-Windows-PushNotifications-Platform,"WNP Transport Layer sent command: BND, Trid: 5, Namespace: CON\WNS 1044479, CV: GWY4rkf26kGK6EEz.5 containing 224 bytes of payload only. However, full payload including header is: 0x424E44203520434F4E5C574E532031303434343739203139370D0A4D532D43563A2047575934726B6632366B474B3645457A2E350D0A436F6E746578743A20623539353363393333303935353666390D0A0D0A3C776E733E3C7665723E313C2F7665723E3C636C69656E743E3C6E616D653E57504E3C2F6E616D653E3C7665723E312E303C2F7665723E3C2F636C69656E743E3C6F7074696F6E733E3C7077726D6F6465206D6F64653D2230223E3C2F7077726D6F64653E3C2F6F7074696F6E733E3C6C6173744D736749643E303C2F6C6173744D736749643E3C2F776E733E. IsLongRunning: Data Connection.#015",Null
1740105760,DESKTOP-RKJA15K,4184,System,Microsoft-Windows-PushNotifications-Platform,"WNP Transport Layer received command: PUT, Trid: 4, Namespace: WNS, CV: GWY4rkf26kGK6EEz.4.0 containing 58 bytes of payload: 0x436F6E746578743A20316535336530356334356637626134650D0A4D532D43563A2047575934726B6632366B474B3645457A2E342E300D0A0D0A. IsLongRunning: Data Connection.#015",Null
1740105760,DESKTOP-RKJA15K,4184,System,Microsoft-Windows-PushNotifications-Platform,"WNP Transport Layer received command: PUT, Trid: 4, Namespace: WNS, CV: GWY4rkf26kGK6EEz.4.0 containing 58 bytes of payload only. However, full payload including header is: 0x505554203420574E530035380D0A436F6E746578743A20316535336530356334356637626134650D0A4D532D43563A2047575934726B6632366B. IsLongRunning: Data Connection.#015",Null
1740105760,DESKTOP-RKJA15K,4184,System,Microsoft-Windows-PushNotifications-Platform,"WNP Transport Layer received command: BND, Trid: 5, Namespace: CON, CV: GWY4rkf26kGK6EEz.5.0 containing 134 bytes of payload: 0x436F6E746578743A20623539353363393333303935353666390D0A4D532D43563A2047575934726B6632366B474B3645457A2E352E300D0A0D0A3C776E732D726573706F6E73653E3C7665723E313C2F7665723E3C6E6F6E63653E31353034383337363932313239373036393435393C2F6E6F6E63653E3C2F776E732D726573706F6E73653E. IsLongRunning: Data Connection.#015",Null
1740105760,DESKTOP-RKJA15K,4184,System,Microsoft-Windows-PushNotifications-Platform,"WNP Transport Layer received command: BND, Trid: 5, Namespace: CON, CV: GWY4rkf26kGK6EEz.5.0 containing 134 bytes of payload only. However, full payload including header is: 0x424E44203520434F4E003133340D0A436F6E746578743A20623539353363393333303935353666390D0A4D532D43563A2047575934726B6632366B474B3645457A2E352E300D0A0D0A3C776E732D726573706F6E73653E3C7665723E313C2F7665723E3C6E6F6E63653E31353034383337363932313239373036393435393C2F6E6F6E63653E. IsLongRunning: Data Connection.#015",Null
1740105760,DESKTOP-RKJA15K,4184,System,Microsoft-Windows-PushNotifications-Platform,Adding new user to the Windows Push Notification Service completed. 001800123F753DA8 [DeviceId] 17056889 [UserId] 0x0 [ErrorCode].#015,Null
1740105760,DESKTOP-RKJA15K,3212,System,Microsoft-Windows-PushNotifications-Platform,The Connection Provider status changed to Connected.#015,Null
1740105760,DESKTOP-RKJA15K,3212,System,Microsoft-Windows-PushNotifications-Platform,Presentation Endpoint received a call to close session 5.#015,Null
1740105760,DESKTOP-RKJA15K,3212,System,Microsoft-Windows-PushNotifications-Platform,Presentation Endpoint ended a call to close session 5.#015,Null
1740105760,DESKTOP-RKJA15K,3212,System,Microsoft-Windows-PushNotifications-Platform,Tile session 5 is being closed#015,Null
